"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-08-31,2026-09-06,"bv | dynamic remarketing | 150326",100,Дневной,1225.97,4,4,306.4925,5293.59,4.317879,996,6304,203,203,213,2.776015,7.005543,6.329317,175,12490.48,12490.48,14,13105.77
2026-08-31,2026-09-06,"bv | ASC kanctovari | 050626",1000,Дневной,6925.62,40,40,173.1405,28235.89,4.07702,59662,114843,1161,1161,4035,2.866522,2.103773,1.924894,3292,119297.37,119297.37,83,46673
2026-08-31,2026-09-06,"bv | shkola | 010826","Используется бюджет группы объявлений",0,1411.74,1,1,1411.74,2695.91,1.909636,6321,10936,91,91,179,1.170446,11.029219,1.730106,128,4719.38,4719.38,3,3138.31
