"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","Ценность конверсий покупки на сайте","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-08-03,2026-08-09,"bv | dynamic remarketing | 150326",250,Дневной,1759.07,20,20,87.9535,32207.12,32207.12,18.309175,2072,11192,785,785,425,2.760901,5.692783,5.401544,309,57070.14,57070.14,43,73878.22
2026-08-03,2026-08-09,"bv | pakunok 7000 | 2606",250,Дневной,0,,,,,,,0,0,14,14,0,,,0,,564.2,564.2,,
2026-08-03,2026-08-09,"bv | ASC kanctovari | 050626",950,Дневной,6611.54,54,54,122.435926,80438.98,80438.98,12.166451,50148,97506,2900,2900,3947,2.937255,2.308499,1.944365,2864,188205.34,188205.34,102,133961.98
2026-08-03,2026-08-09,"bv | shkola | 010826","Используется бюджет группы объявлений",0,2755.12,25,25,110.2048,54902.29,54902.29,19.927368,10039,20088,1888,1888,769,2.643369,5.18855,2.000996,531,116535.85,116535.85,44,82022.54
