"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","Ценность конверсий покупки на сайте","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-07-27,2026-08-02,"bv | dynamic remarketing | 150326",250,Дневной,1764.6,16,16,110.2875,29098.69,29098.69,16.490247,1952,11701,521,521,344,2.324588,6.4875,5.994365,272,38947.54,38947.54,24,43292.84
2026-07-27,2026-08-02,"bv | pakunok 7000 | 2606",250,Дневной,842.52,4,4,210.63,2087.6,2087.6,2.477805,4588,7892,97,97,319,3.053725,3.495934,1.720139,241,13770.29,13770.29,6,3844.02
2026-07-27,2026-08-02,"bv | ASC kanctovari | 050626",950,Дневной,6592.07,36,36,183.113056,44186.41,44186.41,6.702964,48099,88966,1918,1918,3378,2.866264,2.585125,1.849643,2550,109529.94,109529.94,57,58280.82
2026-07-27,2026-08-02,"bv | shkola | 010826","Используется бюджет группы объявлений",0,789.66,1,1,789.66,3538.97,3538.97,4.481638,3865,5991,150,150,225,2.887665,4.564509,1.550065,173,7196.34,7196.34,5,12836.64
