"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-09-07,2026-09-13,"bv | dynamic remarketing | 150326",100,Дневной,709.72,5,5,141.944,4827.85,6.802471,724,4471,91,91,141,2.639231,6.014576,6.175414,118,8272.92,8272.92,17,9058.08
2026-09-07,2026-09-13,"bv | pakunok 7000 | 2606",250,Дневной,1010.78,4,4,252.695,3236.4,3.201884,5794,9793,73,73,450,3.155315,3.271133,1.690197,309,12182.29,12182.29,7,4265.5
2026-09-07,2026-09-13,"bv | ASC kanctovari | 050626",800,Дневной,5631.07,17,17,331.239412,24265.74,4.309259,31779,62902,511,511,2155,2.815491,3.179599,1.979357,1771,77832.84,77832.84,45,37725.51
2026-09-07,2026-09-13,"bv | shkola | 010826","Используется бюджет группы объявлений",0,0,1,1,0,1398.95,,0,0,,,0,,,0,,,,1,1398.95
2026-09-07,2026-09-13,"bv | pakunok 2026 | 070926","Используется бюджет группы объявлений",0,1114.11,2,2,557.055,1644.05,1.475662,3135,7249,11,11,191,1.558836,9.859381,2.312281,113,1552.8,1552.8,5,2681.23
