"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","Ценность конверсий покупки на сайте","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-08-10,2026-08-16,"bv | dynamic remarketing | 150326",250,Дневной,1729.89,28,28,61.781786,54352.55,54352.55,31.419657,1877,11059,791,791,400,2.568044,6.091162,5.891849,284,42750.3,42750.3,73,149233.51
2026-08-10,2026-08-16,"bv | ASC kanctovari | 050626",950,Дневной,6514.2,96,96,67.85625,164707.64,164707.64,25.2844,38862,85315,3790,3790,4310,3.58202,2.13161,2.195332,3056,280087.04,280087.04,142,211504.22
2026-08-10,2026-08-16,"bv | shkola | 010826","Используется бюджет группы объявлений",0,2746.07,36,36,76.279722,72557.34,72557.34,26.422247,11459,21662,1308,1308,716,2.257409,5.615685,1.890392,489,100174.23,100174.23,51,99843.42
