"Дата начала отчетности","Окончание отчетности","Название кампании","Бюджет группы объявлений","Тип бюджета группы объявлений","Потраченная сумма (UAH)",Покупки,"Покупки на сайте","Цена за покупку (UAH)","Ценность конверсий покупки","Ценность конверсий покупки на сайте","ROAS (рентабельность инвестиций в рекламу) для покупок",Охват,Показы,"Добавления в корзину","Добавления в корзину на сайте","Клики (все)","CTR (отношение кликов к показам)","CPC (цена за клик по ссылке) (UAH)",Частота,"Клики по ссылке","Ценность конверсий добавления в корзину на сайте","Ценность конверсий добавления в корзину","Начало оформления заказа","Ценность конверсий начатого оформления заказа"
2026-08-17,2026-08-23,"bv | dynamic remarketing | 150326",250,Дневной,401.84,5,5,80.368,7481.99,7481.99,18.619326,921,2548,244,244,71,1.962323,8.0368,2.766558,50,18276.4,18276.4,11,13316.74
2026-08-17,2026-08-23,"bv | ASC kanctovari | 050626",950,Дневной,1595.88,20,20,79.794,30609.02,30609.02,19.180026,17112,23592,933,933,1073,3.034927,2.228883,1.378682,716,56497.18,56497.18,42,54317.53
2026-08-17,2026-08-23,"bv | shkola | 010826","Используется бюджет группы объявлений",0,650.68,2,2,325.34,2659.23,2659.23,4.086848,2464,3561,183,183,115,2.330806,7.839518,1.445211,83,14118.76,14118.76,4,5299.1
